date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:45	690106/690106	---MCZ	200	added ('OK')	text/html	etag:W/%2205f15195c97e64c0871d53e49108bf69%22	https://www.blackgarlic.co.uk/faq	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/faq.html	(from https://www.blackgarlic.co.uk/)
15:02:47	726623/726623	---MCZ	200	added ('OK')	text/html	etag:W/%221b60422ae0ccbee352fcabde7ba63ec6%22	https://www.blackgarlic.co.uk/contact	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/contact.html	(from https://www.blackgarlic.co.uk/)
15:02:47	3913/3913	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202024%2009:17:31%20GMT	https://static.wixstatic.com/media/7e8186_55bbdde0d1cd4a21b1c66f6ca2c4a17d~mv2.png/v1/fill/w_58,h_21,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7e8186_55bbdde0d1cd4a21b1c66f6ca2c4a17d~mv2.png	E:/NEW%20WEB/blackgarlic/static.wixstatic.com/media/7e8186_55bbdde0d1cd4a21b1c66f6ca2c4a17d_mv2.png/v1/fill/w_58,h_21,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7e8186_55bbdde0d1cd4a21b1c66f6ca2c4a17d_mv2.png	(from https://www.blackgarlic.co.uk/)
15:02:48	24205/24205	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202024%2009:17:33%20GMT	https://static.wixstatic.com/media/a57774_12e78d3bb5914280940a4410a50cde96~mv2.png/v1/fill/w_178,h_178,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/transparent%20but%20white.png	E:/NEW%20WEB/blackgarlic/static.wixstatic.com/media/a57774_12e78d3bb5914280940a4410a50cde96_mv2.png/v1/fill/w_178,h_178,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/transparent%20but%20white.png	(from https://www.blackgarlic.co.uk/)
15:02:49	9443/9443	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202024%2009:17:33%20GMT	https://static.wixstatic.com/media/a57774_81f1626802534244ae6b97ac14af728f~mv2.png/v1/fill/w_178,h_52,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/a57774_81f1626802534244ae6b97ac14af728f~mv2.png	E:/NEW%20WEB/blackgarlic/static.wixstatic.com/media/a57774_81f1626802534244ae6b97ac14af728f_mv2.png/v1/fill/w_178,h_52,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/a57774_81f1626802534244ae6b97ac14af728f_mv2.png	(from https://www.blackgarlic.co.uk/)
15:02:50	9/9	---M--	403	error ('Forbidden')	text/plain	date:Fri,%2006%20Dec%202024%2009:32:47%20GMT	https://static.wixstatic.com/media/ff2c0fa76a5347f3b0f298d9feb685de.jpg/v1/fill/w_39,h_26,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/ff2c0fa76a5347f3b0f298d9feb685de.jpg	E:/NEW%20WEB/blackgarlic/static.wixstatic.com/media/ff2c0fa76a5347f3b0f298d9feb685de.jpg/v1/fill/w_39,h_26,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/ff2c0fa76a5347f3b0f298d9feb685de.jpg	(from https://www.blackgarlic.co.uk/)
15:02:50	3308/3308	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202024%2009:17:34%20GMT	https://static.wixstatic.com/media/5a475d_6d93372659394c088647321fc25e50a7~mv2_d_2363_2363_s_2.png/v1/fill/w_65,h_65,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Black%20Garlic%20Illustration%201-01.png	E:/NEW%20WEB/blackgarlic/static.wixstatic.com/media/5a475d_6d93372659394c088647321fc25e50a7_mv2_d_2363_2363_s_2.png/v1/fill/w_65,h_65,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Black%20Garlic%20Illustration%201-01.png	(from https://www.blackgarlic.co.uk/)
15:02:51	13798/13798	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202024%2009:17:35%20GMT	https://static.wixstatic.com/media/a57774_44d935c036ba4f1d8d8c51a7c3982932~mv2.png/v1/fill/w_69,h_69,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/a57774_44d935c036ba4f1d8d8c51a7c3982932~mv2.png	E:/NEW%20WEB/blackgarlic/static.wixstatic.com/media/a57774_44d935c036ba4f1d8d8c51a7c3982932_mv2.png/v1/fill/w_69,h_69,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/a57774_44d935c036ba4f1d8d8c51a7c3982932_mv2.png	(from https://www.blackgarlic.co.uk/)
15:02:51	1536/1536	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Dec%202024%2009:17:35%20GMT	https://static.wixstatic.com/media/7e8186_8221f363c62440c591829aa106835d45~mv2.jpg/v1/fill/w_48,h_68,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7e8186_8221f363c62440c591829aa106835d45~mv2.jpg	E:/NEW%20WEB/blackgarlic/static.wixstatic.com/media/7e8186_8221f363c62440c591829aa106835d45_mv2.jpg/v1/fill/w_48,h_68,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7e8186_8221f363c62440c591829aa106835d45_mv2.jpg	(from https://www.blackgarlic.co.uk/)
15:02:54	999454/999454	---MCZ	200	added ('OK')	text/html	etag:W/%220059f16014fff5942ed228eb0c41ad76%22	https://www.blackgarlic.co.uk/post/how-to-use-black-garlic-in-innovative-ways	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/post/how-to-use-black-garlic-in-innovative-ways.html	(from https://www.blackgarlic.co.uk/)
15:02:56	994785/994785	---MCZ	200	added ('OK')	text/html	etag:W/%2262c7a89ca48c632fbd0c5d9e6d706b0e%22	https://www.blackgarlic.co.uk/post/snacking	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/post/snacking.html	(from https://www.blackgarlic.co.uk/)
15:02:58	1038323/1038323	---MCZ	200	added ('OK')	text/html	etag:W/%2256fb97b301abc520390b6b5c538cddfe%22	https://www.blackgarlic.co.uk/post/orfhlaithnoone	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/post/orfhlaithnoone.html	(from https://www.blackgarlic.co.uk/)
15:03:00	985696/985696	---MCZ	200	added ('OK')	text/html	etag:W/%22dd8ec80fea526f10a27b52026e6f8d8f%22	https://www.blackgarlic.co.uk/post/what-s-the-buzz-about-black-garlic	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/post/what-s-the-buzz-about-black-garlic.html	(from https://www.blackgarlic.co.uk/)
15:03:02	793596/793596	---MCZ	200	added ('OK')	text/html	etag:W/%22e835159a83afe5b3c4fd39a966bea7db%22	https://www.blackgarlic.co.uk/news	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/news.html	(from https://www.blackgarlic.co.uk/)
